,id,name,absolute_magnitude_h,estimated_diameter_kilometers,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity_km/s,miss_distance_kilometers,orbiting_body
102,54514035,(2025 AT),25.752,0.042,False,2025-01-08,8.4147,11856715,Earth
103,54515742,(2025 AO3),25.781,0.0415,False,2025-01-08,6.4164,17568841,Earth
104,2226514,226514 (2003 UX34),20.2,0.5421,True,2025-01-07,16.549,18491518,Earth
105,2438017,438017 (2003 YO3),18.59,1.1377,False,2025-01-07,15.2768,12136340,Earth
106,2481442,481442 (2006 WO3),21.58,0.2871,False,2025-01-07,21.6489,58239736,Earth
107,3485806,(2010 AL60),22.4,0.1968,False,2025-01-07,8.9893,9414486,Earth
108,3723888,(2015 NU2),20.91,0.3909,True,2025-01-07,19.1336,73466998,Earth
109,3771633,(2017 FZ2),26.6,0.0284,False,2025-01-07,7.6348,43675472,Earth
110,3792462,(2017 YD),25.5,0.0472,False,2025-01-07,4.9143,10536583,Earth
111,3837883,(2019 AO12),25.6,0.0451,False,2025-01-07,24.2782,72072116,Earth
112,3842657,(2019 KJ4),27.4,0.0197,False,2025-01-07,9.525,49392413,Earth
113,54340445,(2023 BO8),26.66,0.0277,False,2025-01-07,14.9593,44602775,Earth
114,54509167,(2024 YH4),22.557,0.1831,False,2025-01-07,22.5099,13059866,Earth
115,54509629,(2024 YZ4),21.685,0.2736,False,2025-01-07,27.6437,19239009,Earth
116,54512615,(2024 YZ9),25.126,0.0561,False,2025-01-07,8.5342,3620695,Earth
117,54513036,(2024 YW12),23.577,0.1145,False,2025-01-07,13.6584,14908349,Earth
